category,headline
Politics,Supreme Court Rules on Landmark Privacy Case Setting New Digital Rights Precedent
Politics,Senate Passes Bipartisan Infrastructure Bill After Marathon Overnight Session
Politics,New Voting Rights Legislation Sparks Heated Debate Across Party Lines
Politics,President Signs Executive Order on Climate Change Emissions Targets
Politics,Congressional Committee Launches Investigation Into Social Media Influence
Science,NASA Discovers New Earth-Like Exoplanet in Habitable Zone of Nearby Star
Science,CERN Scientists Detect New Subatomic Particle That Defies Standard Model
Science,Breakthrough Gene Therapy Cures Inherited Blindness in Clinical Trial Patients
Science,Artificial Intelligence System Achieves New Milestone in Protein Folding Prediction
Science,Deep Sea Expedition Reveals New Species Living Near Hydrothermal Vents
Sports,Underdog Team Pulls Off Stunning Upset in Championship Finals Overtime Thriller
Sports,Olympic Committee Announces New Host City for 2036 Summer Games
Sports,Star Quarterback Breaks All-Time Passing Record in Monday Night Game
Sports,Tennis Prodigy Wins Grand Slam Title at Age Seventeen Breaking Records
Sports,World Cup Qualifying Match Ends in Dramatic Penalty Shootout Victory
